timestamp,features,head_mode,eval_kind,manyup_ckpt,manyup_use_proj,time_pool,epochs,lr,knn_k,batch_size,seed,test_miou,test_overall_acc,avg_epoch_sec,manyup_native_out,timanyup_ckpt,timanyup_k,timanyup_hrlc,timanyup_query_input,timanyup_train_transform,timanyup_transform_epochs
2026-09-08T11:47:01,oe_base_s2_ps16_tile64,manyup_shared,lp,manyup_2transform_oe_base_s2_ps16_tile64_to_oe_base_s2_ps2_tile64_manyup_w1_dr0_ep31.pth,False,mean,32,0.01,,32,0,0.27,0.65,nan,True,,,,,,
2026-09-08T11:47:12,oe_base_s2_ps16_tile64,manyup_shared,lp,manyup_2transform_oe_base_s2_ps16_tile64_to_oe_base_s2_ps4_tile64_manyup_w1_dr0_ep31.pth,False,mean,32,0.01,,32,0,0.36,0.73,nan,True,,,,,,
2026-09-08T11:47:35,oe_base_s2_ps8_tile64,manyup_shared,lp,manyup_0transform_oe_base_s2_ps8_tile64_to_oe_base_s2_ps4_tile64_manyup_w1_dr0_ep31.pth,False,mean,32,0.01,,32,0,0.47,0.76,nan,True,,,,,,
2026-09-08T11:48:11,oe_base_s2_ps8_tile64,manyup_shared,lp,manyup_2transform_oe_base_s2_ps8_tile64_to_oe_base_s2_ps2_tile64_manyup_w1_dr0_ep31.pth,False,mean,32,0.01,,32,0,0.40,0.76,nan,True,,,,,,
2026-09-08T11:48:12,oe_base_s2_ps8_tile64,manyup_shared,lp,manyup_2transform_oe_base_s2_ps8_tile64_to_oe_base_s2_ps4_tile64_manyup_w1_dr0_ep31.pth,False,mean,32,0.01,,32,0,0.45,0.77,nan,True,,,,,,
2026-09-08T11:48:13,oe_base_s2_ps8_tile64,manyup_shared,lp,manyup_2transform_oe_base_s2_ps8_tile64_to_oe_base_s2_ps4_tile64_manyup_w1_dr0_ep31.pth,False,mean,32,0.01,,32,0,0.47,0.78,nan,True,,,,,,
2026-09-08T11:52:08,oe_base_s2_ps16_tile64,manyup,lp,manyup_2transform_oe_base_s2_ps16_tile64_to_oe_base_s2_ps4_tile64_manyup_w1_dr0_ep31.pth,False,mean,32,0.01,,32,0,0.38,0.74,9.51,True,,,,,,
2026-09-08T11:52:35,oe_base_s2_ps16_tile64,manyup,lp,manyup_2transform_oe_base_s2_ps16_tile64_to_oe_base_s2_ps2_tile64_manyup_w1_dr0_ep31.pth,False,mean,32,0.01,,32,0,0.38,0.74,10.28,True,,,,,,
2026-09-08T11:55:30,oe_base_s2_ps8_tile64,manyup,lp,manyup_2transform_oe_base_s2_ps8_tile64_to_oe_base_s2_ps4_tile64_manyup_w1_dr0_ep31.pth,False,mean,32,0.01,,32,0,0.47,0.78,14.72,True,,,,,,
2026-09-08T11:55:34,oe_base_s2_ps8_tile64,manyup,lp,manyup_0transform_oe_base_s2_ps8_tile64_to_oe_base_s2_ps2_tile64_manyup_w1_dr0_ep31.pth,False,mean,32,0.01,,32,0,0.48,0.78,14.87,True,,,,,,
2026-09-08T11:55:56,oe_base_s2_ps8_tile64,manyup,lp,manyup_2transform_oe_base_s2_ps8_tile64_to_oe_base_s2_ps2_tile64_manyup_w1_dr0_ep31.pth,False,mean,32,0.01,,32,0,0.47,0.79,15.56,True,,,,,,
2026-09-08T11:56:36,oe_base_s2_ps2_tile64,lp_bu_px2px,lp,,,,32,0.01,,32,0,0.52,0.81,11.35,,,,,,,
2026-09-08T12:00:59,oe_base_s2_ps16_tile64,manyup_shared,lp,manyup_0transform_oe_base_s2_ps16_tile64_to_oe_base_s2_ps2_tile64_manyup_w1_dr0_ep31.pth,False,mean,32,0.01,,32,0,0.27,0.55,nan,True,,,,,,
2026-09-08T12:01:03,oe_base_s2_ps16_tile64,manyup_shared,lp,manyup_2transform_oe_base_s2_ps16_tile64_to_oe_base_s2_ps2_tile64_manyup_w1_dr0_ep31.pth,False,mean,32,0.01,,32,0,0.35,0.73,nan,True,,,,,,
2026-09-08T12:01:05,oe_base_s2_ps8_tile64,manyup_shared,lp,manyup_2transform_oe_base_s2_ps8_tile64_to_oe_base_s2_ps2_tile64_manyup_w1_dr0_ep31.pth,False,mean,32,0.01,,32,0,0.46,0.78,nan,True,,,,,,
2026-09-08T12:01:36,oe_base_s2_ps8_tile64,manyup_shared,lp,manyup_0transform_oe_base_s2_ps8_tile64_to_oe_base_s2_ps2_tile64_manyup_w1_dr0_ep31.pth,False,mean,32,0.01,,32,0,0.41,0.71,nan,True,,,,,,
2026-09-10T13:00:23,oe_base_s2_ps16_tile64,manyup,lp,manyup_0transform_oe_base_s2_ps16_tile64_to_oe_base_s2_ps4_tile64_manyup_w1_dr0_ep31.pth,False,mean,32,0.01,,32,0,0.34,0.72,6.11,True,,,,,,
2026-09-10T13:01:48,oe_base_s2_ps16_tile64,manyup,lp,manyup_2transform_oe_base_s2_ps16_tile64_to_oe_base_s2_ps4_tile64_manyup_w1_dr0_ep31.pth,False,mean,32,0.01,,32,0,0.36,0.73,6.11,True,,,,,,
2026-09-10T13:09:23,oe_base_s2_ps16_tile64,lp_pa2px,lp,,,,32,0.01,,32,0,0.35,0.72,0.71,,,,,,,
2026-09-10T13:10:06,oe_base_s2_ps16_tile64,lp_bu_px2px,lp,,,,32,0.01,,32,0,0.31,0.67,1.92,,,,,,,
2026-09-10T13:11:51,oe_base_s2_ps4_tile64,lp_pa2px,lp,,,,32,0.01,,32,0,0.47,0.79,2.98,,,,,,,
2026-09-10T13:12:26,oe_base_s2_ps16_tile64,manyup,lp,manyup_0transform_oe_base_s2_ps16_tile64_to_oe_base_s2_ps4_tile64_manyup_w1_dr0_ep31.pth,False,mean,32,0.01,,32,0,0.35,0.72,6.21,True,,,,,,
2026-09-10T13:13:49,oe_base_s2_ps16_tile64,manyup,lp,manyup_2transform_oe_base_s2_ps16_tile64_to_oe_base_s2_ps4_tile64_manyup_w1_dr0_ep31.pth,False,mean,32,0.01,,32,0,0.36,0.73,5.97,True,,,,,,
2026-09-10T16:48:05,oe_base_s2_ps16_tile64,timanyup,lp,,,mean,1,0.01,,8,0,0.35,0.72,106.02,,,,,,,
2026-09-10T16:52:08,oe_base_s2_ps16_tile64,timanyup_t,lp,,,mean,1,0.01,,8,0,0.35,0.72,108.24,,,,,,,
2026-09-10T16:58:35,oe_base_s2_ps16_tile64,timanyup_t,lp,,,mean,1,0.01,,8,0,0.43,0.76,121.30,,,,,,,
2026-09-10T17:01:18,oe_base_s2_ps16_tile64,lp_pa2px,lp,,,,1,0.01,,16,0,0.30,0.72,1.93,,,,,,,
2026-09-10T18:27:14,oe_base_s2_ps16_tile64,timanyup,lp,,,mean,32,0.01,,32,0,0.44,0.76,119.04,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep9.pth,512,oe_base_s2_ps4_tile4_single,,,
2026-09-10T18:27:15,oe_base_s2_ps16_tile64,timanyup,lp,,,mean,32,0.01,,32,0,0.44,0.76,118.85,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep19.pth,512,oe_base_s2_ps4_tile4_single,,,
