arm,modalities,image_size,patch_size,tile_size,grid,tiles_per_sample,tokens_per_tile,batch_size,n_batches,samples_per_s,ms_per_sample,samples_per_s_median,step_s_mean,step_s_median,step_s_std,peak_mem_gb,gflops_per_sample,gmacs_per_sample,tflops_per_s,gpu,model_size
s2,sentinel2_l2a,64,4,4,16,256,12,2048,4,48.82444856005671,20.4815421267881,48.804440977938555,41.94619827566203,41.963394292863086,0.03864563616755153,2.5593910217285156,1581.370048512,790.685024256,77.20952058798854,NVIDIA L40S,base
s2,sentinel2_l2a,64,2,2,32,1024,12,2048,4,12.204554582124436,81.93662400958601,12.205738326419738,167.80620597163215,167.78993168869056,0.11367449671061967,2.5314369201660156,6325.480194048,3162.740097024,77.19966828640588,NVIDIA L40S,base
s2,sentinel2_l2a,64,1,1,64,4096,12,2048,4,3.0604055971042468,326.7540749978366,3.0603814002961593,669.1923455955693,669.1976365435403,0.1523028482801369,2.5261878967285156,25301.920776192,12650.960388096,77.43413996094624,NVIDIA L40S,base
s1,sentinel1,64,4,4,16,256,12,2048,4,138.67870304567748,7.210912548487158,138.77906701215514,14.7679488993017,14.757268830901012,0.03510573705161404,1.1220130920410156,523.801460736,261.900730368,72.64010722829983,NVIDIA L40S,base
s1,sentinel1,64,2,2,32,1024,12,2048,4,34.72648161735138,28.79646752063536,34.73133659746569,58.97516548226122,58.96692153648473,0.02186521229640291,1.1167640686035156,2095.205842944,1047.602921472,72.75912718956204,NVIDIA L40S,base
s1,sentinel1,64,1,1,64,4096,12,2048,4,8.682646239474014,115.17226113090828,8.682348219622211,235.87279079610016,235.88088708207943,0.04444883649008329,1.1156654357910156,8380.823371776,4190.411685888,72.76772453264681,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,64,4,4,16,256,12,2048,4,36.66781177719252,27.2718755642245,36.67057901137302,55.85280115553178,55.848586393054575,0.009553990535821726,3.2694740295410156,2113.325236224,1056.662618112,77.49101198585255,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,64,2,2,32,1024,12,2048,4,9.19522018783962,108.75215378990788,9.19506965067197,222.72441096173134,222.72805729648098,0.02485890116439167,3.2363929748535156,8453.300944896,4226.650472448,77.72996350239144,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,64,1,1,64,4096,12,2048,4,2.296609970128644,435.4243920416252,2.2966640127635674,891.7491549012484,891.728171216324,0.08616484104443917,3.2300453186035156,33813.203779584,16906.601889792,77.65574092218417,NVIDIA L40S,base
