arm,modalities,patch_size,tile_size,grid,tiles_per_sample,tokens_per_tile,batch_size,samples_per_s,ms_per_sample,step_s_median,step_s_mean,step_s_std,peak_mem_gb,gpu,model_size
s2s1,sentinel2_l2a+sentinel1,16,64,4,1,192,1339,566.1572139228143,1.7662938410183937,2.365067453123629,2.367816913686693,0.007524392488512674,33.94366979598999,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,8,64,8,1,768,400,122.30309644476546,8.176407867576927,3.270563147030771,3.273316190391779,0.008692684342237963,34.121074199676514,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,4,32,16,4,768,345,30.158217306955965,33.15845859925384,11.439668216742575,11.447497292980552,0.01462049781689504,31.899007320404053,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,4,64,16,1,3072,103,18.164925522491348,55.051147815708106,5.670268225017935,5.671913850493729,0.008562402704614778,33.49465847015381,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,2,32,32,4,3072,87,4.596998058897626,217.5332656633323,18.92539411270991,18.938326413929463,0.06755892024287927,31.826609134674072,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,2,64,32,1,12288,26,1.784805456300951,560.2851540315896,14.56741400482133,14.558618310745805,0.03130105621513716,33.400158405303955,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,1,16,64,16,3072,87,1.14329197431987,874.6672087809307,76.09604716394097,76.08006051294505,0.060898976613395946,31.739031314849854,NVIDIA L40S,base
