arm,modalities,patch_size,tile_size,grid,tiles_per_sample,tokens_per_tile,batch_size,samples_per_s,ms_per_sample,step_s_median,step_s_mean,step_s_std,peak_mem_gb,gpu,model_size
s2,sentinel2_l2a,16,64,4,1,192,1827,743.8562167628869,1.3443458257992378,2.4561198237352073,2.4573238940909503,0.006630705178575822,35.8180570602417,NVIDIA L40S,base
s2,sentinel2_l2a,8,64,8,1,768,553,169.39743764161236,5.903277014825109,3.2645121891982853,3.265926868002862,0.008736745146736053,35.69552230834961,NVIDIA L40S,base
s2,sentinel2_l2a,4,32,16,4,768,504,42.012729181107076,23.802309906819747,11.996364193037152,11.997801234386861,0.01138329014803139,35.26937294006348,NVIDIA L40S,base
s2,sentinel2_l2a,4,64,16,1,3072,144,27.80210469031877,35.968499908146136,5.179463986773044,5.179363880399615,0.005400210143569638,35.187697887420654,NVIDIA L40S,base
s2,sentinel2_l2a,2,32,32,4,3072,116,6.967887891894208,143.51551223482036,16.647799419239163,16.66200998527929,0.024461821320790715,32.094977378845215,NVIDIA L40S,base
s2,sentinel2_l2a,2,64,32,1,12288,36,2.9897817108988556,334.4725791701219,12.041012850124389,12.091564167384059,0.08769759720322812,34.69230604171753,NVIDIA L40S,base
s2,sentinel2_l2a,1,16,64,16,3072,122,1.7512073929685081,571.0345924847195,69.66622028313577,69.65670101745054,0.08737914739976081,33.63662767410278,NVIDIA L40S,base
