arm,modalities,image_size,patch_size,tile_size,grid,tiles_per_sample,tokens_per_tile,batch_size,n_batches,samples_per_s,ms_per_sample,samples_per_s_median,step_s_mean,step_s_median,step_s_std,peak_mem_gb,gflops_per_sample,gmacs_per_sample,tflops_per_s,gpu,model_size
s1,sentinel1,64,16,16,4,16,12,2048,5,2239.240896020245,0.4465799109766522,2240.161905772516,0.9145956576801837,0.9142196350730956,0.0013863895559133542,1.2090492248535156,32.737591296,16.368795648,73.30735326719963,NVIDIA L40S,base
s1,sentinel1,64,8,16,8,16,48,2048,5,594.0308556022738,1.6834142377774697,593.8515847650627,3.447632358968258,3.448673123959452,0.006067363506303156,3.5303382873535156,131.969581056,65.984790528,78.39400314816932,NVIDIA L40S,base
s1,sentinel1,64,16,64,4,1,192,2048,5,2359.121293041214,0.4238866407376918,2358.5532058859844,0.8681198402307928,0.8683289377950132,0.0004737831386246022,11.972232818603516,34.011611136,17.005805568,80.23751604157526,NVIDIA L40S,base
s1,sentinel1,64,4,16,16,16,192,2048,5,147.77509298709467,6.767040235172317,147.78910268974067,13.858898401632905,13.85758464410901,0.016079512727469387,12.817935943603516,544.185778176,272.092889088,80.41710397221286,NVIDIA L40S,base
s1,sentinel1,64,8,64,8,1,768,1024,5,576.1376276877314,1.7356963890961197,576.0654878613844,1.7773531024344265,1.7775756777264178,0.004549553286636265,21.350727081298828,152.353898496,76.176949248,87.77681364846288,NVIDIA L40S,base
s1,sentinel1,64,2,16,32,16,768,1024,5,35.98221762873393,27.791505524146487,35.98004402436483,28.458501656726003,28.460220874287188,0.008264386360456432,25.150531768798828,2437.662375936,1218.831187968,87.71249811630577,NVIDIA L40S,base
s1,sentinel1,64,4,64,16,1,3072,256,5,121.19547948366154,8.251132833174779,121.19408170252636,2.1122900052927434,2.1123143672011793,0.0035330577026632176,20.788009643554688,870.334857216,435.167428608,105.48065033163722,NVIDIA L40S,base
s1,sentinel1,64,1,16,64,16,3072,256,5,7.604462235944144,131.50173792346322,7.600432312148977,33.66444490840659,33.682294570375234,0.06424112455924888,25.115280151367188,13925.357715456,6962.678857728,105.89485686919856,NVIDIA L40S,base
s1,sentinel1,64,2,64,32,1,12288,64,5,18.314818851383002,54.6005946394871,18.30988769447484,3.4944380569271742,3.4953791671432555,0.013186009180196667,20.647330284118652,7656.047640576,3828.023820288,140.21912565470768,NVIDIA L40S,base
s1,sentinel1,64,1,64,64,1,49152,16,5,1.777486491254323,562.592179980129,1.7774642607676598,9.001474879682064,9.001587459817529,0.023387330761539014,20.61228322982788,97419.521949696,48709.760974848,173.1618842500386,NVIDIA L40S,base
