arm,modalities,image_size,patch_size,tile_size,grid,tiles_per_sample,tokens_per_tile,batch_size,n_batches,samples_per_s,ms_per_sample,samples_per_s_median,step_s_mean,step_s_median,step_s_std,peak_mem_gb,gflops_per_sample,gmacs_per_sample,tflops_per_s,gpu,model_size
s2s1,sentinel2_l2a+sentinel1,128,16,16,8,64,12,2048,5,139.81766542887146,7.152172058749784,139.7375653523945,14.647648376319557,14.656044670846313,0.0246673704050675,3.9054603576660156,528.331309056,264.165654528,73.87005020518949,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,128,8,16,16,64,48,2048,5,36.67081051576679,27.269645419210065,36.672773176478486,55.84823381854221,55.84524492174387,0.03571859232384772,12.560855865478516,2178.555052032,1089.277526016,79.88937951123192,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,128,16,64,8,4,192,1024,5,140.65712944023684,7.109486763874884,140.66714272035367,7.280114446207881,7.279596216976643,0.0094606236157742,28.852802276611328,609.868578816,304.934289408,85.7823636320554,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,128,16,128,8,1,768,256,5,121.16901667370205,8.25293484631402,121.08097925464226,2.112751320656389,2.114287492353469,0.002767037051844313,26.037155151367188,870.787842048,435.393921024,105.51250655237114,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,128,4,16,32,64,192,1024,5,9.0966474913153,109.93060915625392,9.110558563186155,112.56894377600402,112.39706027880311,0.40925024644125163,23.755146026611328,9757.897261056,4878.948630528,88.7641516402975,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,128,8,64,16,4,768,256,5,30.462178568805697,32.82759300163889,30.454850163766384,8.403863808419555,8.405886045191437,0.008090130338481733,24.774459838867188,3483.151368192,1741.575684096,106.1043789600446,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,128,8,128,16,1,3072,64,5,18.485290302847638,54.09706764767179,18.51358051456483,3.4622123294509946,3.456921795848757,0.008429411606058845,21.958975791931152,7657.859579904,3828.929789952,141.5577574329683,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,128,2,16,64,64,768,256,5,1.915026665603371,522.1859402594418,1.913271019649718,133.67960070641712,133.8022670969367,0.32444841675234254,23.501144409179688,55730.421891072,27865.210945536,106.72524400672872,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,128,4,64,32,4,3072,64,5,4.63487412158813,215.75558985350654,4.63509649735337,13.808357750624419,13.807695273775607,0.010558854374005984,23.754874229431152,30631.438319616,15315.719159808,141.97286077461118,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,128,4,128,32,1,12288,16,5,1.805659385464226,553.8143063138705,1.8035609309112877,8.861028901021928,8.871338764205575,0.02124629400572922,20.93943166732788,97426.769707008,48713.384853504,175.91956111692073,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,128,1,16,128,64,3072,64,5,0.2897704263695357,3451.00779444183,0.2897471057491522,220.8644988442771,220.88227537088096,0.0529944423102369,23.437369346618652,490103.013113856,245051.506556928,142.0173590749962,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,128,2,64,64,4,12288,16,5,0.4531065214983193,2206.986552948365,0.4533501446223669,35.31178484717384,35.292808858212084,0.111806624173396,23.50107717514038,389707.078828032,194853.539414016,176.5788188910409,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,128,2,128,64,1,49152,4,5,0.13094022285102447,7637.072690320201,0.13069003093879744,30.548290761280803,30.60677215596661,0.11852913784503946,20.68564462661743,1458432.381026304,729216.190513152,190.96746098473446,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,128,1,64,128,4,49152,4,5,0.03273390663039207,30549.363120365888,0.03274705124284464,122.19745248146356,122.14840262522921,0.32321910180204877,23.43735361099243,5833729.524105216,2916864.762052608,190.9607575490217,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,128,1,128,128,1,196608,1,5,0.007759660744505969,128871.61345398054,0.007766014088795617,128.87161345398053,128.76618411531672,0.7281473348183733,20.622777462005615,22933334.35927757,11466667.179638784,177.9548943683161,NVIDIA L40S,base
